Project,Introduction_Iteration
strongswan,0
libwebp,0
irssi,0
pidgin,0
botan,0
opus,0
tor,0
mosh,0
wireshark,0
qpid-proton,0
curl,0
c-ares,0
woff2,0
nfstream,0
knot-dns,0
libcacard,0
skia,0
speex,0
tensorflow,0
libreoffice,0
pcapplusplus,0
s2opc,0
mdbtools,0
llvm,0
libplist,0
libxslt,0
lwan,0
freetype2,0
harfbuzz,0
h2o,0
file,2
cpython3,3
qubes-os,7
libraw,11
osquery,15
openvpn,16
capstone,18
tinyusb,18
rnp,22
pffft,24
pyxdg,26
pycparser,30
libvpx,31
libmpeg2,40
libhevc,43
libavc,45
hdf5,55
ecc-diff-fuzzer,64
openvswitch,79
binutils,134
jq,157
python-email-validator,188
vulkan-loader,210
apache-poi,234
zlib,237
opensc,240
libxml2,245
c-blosc,270
bzip2,278
gitoxide,322
lodepng,352
spdlog,352
zip-rs,411
jackson-databind,440
askama,448
leptonica,465
ffmpeg,591
requests,739
libarchive,746
libssh,761
rustls,769
lxml,794
lua,937
image-rs,941
hermes,990
image-png,1003
wolfssl,1056
gpac,1090
pistache,1132
fluent-bit,1278
boost-json,1297
net-snmp,1300
nodejs,1300
vlc,1345
flac,1438
lcms,1563
